# Route dictionary for (campaign 23, tree_version 11).  16 feasible routes, 74
# rows exploded.  Published at validation; retained indefinitely; joined by the
# warehouse with ordinary SQL and no decoder (spec 5.4.1(b)).
#
# route_digest is a uint64 folded IN THE KERNEL over the edge ids taken.  Because
# edge ids derive from node keys, a route that is genuinely the same walk carries
# the same digest in a later version too - see v12.routes.csv, where the ten
# routes avoiding node 6 keep these digests unchanged.
campaign_id,tree_version,route_digest,ordinal,node_key,direction,edge_id,next_key
23,11,10416703391827633295,0,n_9f2c41a7b0e35d18,false,4478213366015929571,l_b82e47c105d3f69a
23,11,17734120558091462873,0,n_9f2c41a7b0e35d18,true,15529981127448290043,n_4b71e0cd5a92f36c
23,11,17734120558091462873,1,n_4b71e0cd5a92f36c,false,2203871559640197448,n_2e6f9b14a7c308d5
23,11,17734120558091462873,2,n_2e6f9b14a7c308d5,false,9917344102885563012,l_0d59a3f6c8b71e42
23,11,15722004391827633295,0,n_9f2c41a7b0e35d18,true,15529981127448290043,n_4b71e0cd5a92f36c
23,11,15722004391827633295,1,n_4b71e0cd5a92f36c,false,2203871559640197448,n_2e6f9b14a7c308d5
23,11,15722004391827633295,2,n_2e6f9b14a7c308d5,true,11840622709384561117,n_a1f45e9c2b70d863
23,11,15722004391827633295,3,n_a1f45e9c2b70d863,true,4562288861530947703,n_e83017bd6f2c94a5
23,11,15722004391827633295,4,n_e83017bd6f2c94a5,true,13309457720865410238,n_6b4d2f9138ea07c5
23,11,15722004391827633295,5,n_6b4d2f9138ea07c5,true,6748012230915337194,l_cf2839a54e0b761d
23,11,3381900274596118845,0,n_9f2c41a7b0e35d18,true,15529981127448290043,n_4b71e0cd5a92f36c
23,11,3381900274596118845,1,n_4b71e0cd5a92f36c,false,2203871559640197448,n_2e6f9b14a7c308d5
23,11,3381900274596118845,2,n_2e6f9b14a7c308d5,true,11840622709384561117,n_a1f45e9c2b70d863
23,11,3381900274596118845,3,n_a1f45e9c2b70d863,true,4562288861530947703,n_e83017bd6f2c94a5
23,11,3381900274596118845,4,n_e83017bd6f2c94a5,true,13309457720865410238,n_6b4d2f9138ea07c5
23,11,3381900274596118845,5,n_6b4d2f9138ea07c5,false,17705311806421894765,l_16d7b0f3928ac54e
23,11,8873554120936471029,0,n_9f2c41a7b0e35d18,true,15529981127448290043,n_4b71e0cd5a92f36c
23,11,8873554120936471029,1,n_4b71e0cd5a92f36c,true,10094463921107755380,n_c05a83d7146be2f9
23,11,8873554120936471029,2,n_c05a83d7146be2f9,false,5619074430812216589,n_a1f45e9c2b70d863
23,11,8873554120936471029,3,n_a1f45e9c2b70d863,false,928147205183660714,l_f47c81b2e50a9d63
23,11,12045667318902244551,0,n_9f2c41a7b0e35d18,true,15529981127448290043,n_4b71e0cd5a92f36c
23,11,12045667318902244551,1,n_4b71e0cd5a92f36c,true,10094463921107755380,n_c05a83d7146be2f9
23,11,12045667318902244551,2,n_c05a83d7146be2f9,true,3401882055749638226,n_7d38c2a05f6941be
23,11,12045667318902244551,3,n_7d38c2a05f6941be,true,14962300718825413907,n_5c92b70e4a13fd28
23,11,12045667318902244551,4,n_5c92b70e4a13fd28,true,7730165594122008345,n_31ac58f0d27b6e49
23,11,12045667318902244551,5,n_31ac58f0d27b6e49,true,1146290874336502867,l_93e15b8a2c60f7d4
23,11,4592881033177450620,0,n_9f2c41a7b0e35d18,true,15529981127448290043,n_4b71e0cd5a92f36c
23,11,4592881033177450620,1,n_4b71e0cd5a92f36c,true,10094463921107755380,n_c05a83d7146be2f9
23,11,4592881033177450620,2,n_c05a83d7146be2f9,true,3401882055749638226,n_7d38c2a05f6941be
23,11,4592881033177450620,3,n_7d38c2a05f6941be,true,14962300718825413907,n_5c92b70e4a13fd28
23,11,4592881033177450620,4,n_5c92b70e4a13fd28,true,7730165594122008345,n_31ac58f0d27b6e49
23,11,4592881033177450620,5,n_31ac58f0d27b6e49,false,16033891447206352518,l_7a0c64e9b13d582f
# ... 9 more routes, 33 more rows, to the stated 16 routes / 74 rows. Elided for
# illustration; the shown 7 already exercise every node, both MULTI arrivals
# (node 6 from node 3-false and node 4-true; node 8 from node 5-false and node
# 6-true; node 10 from node 7-false and node 8-true) and both leaf-903 arrivals.
