# entity_disqualification_disposition -- 14 rules x 3 criticality classes = 42 cells
# Owner: Business Credit Risk Policy. Cadence: quarterly. Effective-dated.
#
# disposition_code: 0 clear, 1 business_refer, 2 business_decline,
#                   3 exclude_entity, 4 material_adverse_event, 5 record_only
#
# Rules E-AROD-02, E-AROD-12 and E-AROD-14 carry disposition 2 in ALL THREE
# classes. spec 5.4: "That asymmetry is deliberate and must be readable as
# deliberate, not as an oversight in a matrix." They are declared
# class_invariant=True in entities/disqualification.py and the build ASSERTS
# these rows against that declaration -- so softening one of them for peripheral
# entities fails the build naming the rule, rather than quietly changing policy.
effective_from,effective_to,rule_id,criticality_class,disposition_code,reason_code,requires_committee
2026-01-01,,E-AROD-01,3,2,5201,false
2026-01-01,,E-AROD-01,2,1,5201,false
2026-01-01,,E-AROD-01,1,3,5201,false
2026-01-01,,E-AROD-02,3,2,5202,false
2026-01-01,,E-AROD-02,2,2,5202,false
2026-01-01,,E-AROD-02,1,2,5202,false
2026-01-01,,E-AROD-03,3,1,5209,true
2026-01-01,,E-AROD-03,2,1,5209,false
2026-01-01,,E-AROD-03,1,5,5209,false
2026-01-01,,E-AROD-04,3,1,5210,false
2026-01-01,,E-AROD-04,2,5,5210,false
2026-01-01,,E-AROD-04,1,5,5210,false
2026-01-01,,E-AROD-05,3,2,5203,false
2026-01-01,,E-AROD-05,2,3,5203,false
2026-01-01,,E-AROD-05,1,3,5203,false
2026-01-01,,E-AROD-06,3,2,5204,false
2026-01-01,,E-AROD-06,2,2,5204,false
2026-01-01,,E-AROD-06,1,4,5204,false
2026-01-01,,E-AROD-07,3,2,5205,false
2026-01-01,,E-AROD-07,2,2,5205,false
2026-01-01,,E-AROD-07,1,0,5205,false
2026-01-01,,E-AROD-08,3,2,5206,false
2026-01-01,,E-AROD-08,2,4,5206,false
2026-01-01,,E-AROD-08,1,4,5206,false
2026-01-01,,E-AROD-09,3,2,5211,false
2026-01-01,,E-AROD-09,2,3,5211,false
2026-01-01,,E-AROD-09,1,5,5211,false
2026-01-01,,E-AROD-10,3,1,5212,false
2026-01-01,,E-AROD-10,2,0,5212,false
2026-01-01,,E-AROD-10,1,0,5212,false
2026-01-01,,E-AROD-11,3,1,5213,true
2026-01-01,,E-AROD-11,2,1,5213,false
2026-01-01,,E-AROD-11,1,5,5213,false
2026-01-01,,E-AROD-12,3,2,5207,false
2026-01-01,,E-AROD-12,2,2,5207,false
2026-01-01,,E-AROD-12,1,2,5207,false
2026-01-01,,E-AROD-13,3,1,5214,false
2026-01-01,,E-AROD-13,2,1,5214,false
2026-01-01,,E-AROD-13,1,5,5214,false
2026-01-01,,E-AROD-14,3,2,5208,false
2026-01-01,,E-AROD-14,2,2,5208,false
2026-01-01,,E-AROD-14,1,2,5208,false
